symbol,time,open,high,low,close
NIFTY 50,91559,25428.85,25458.65,25412.0,25436.9
NIFTY 50,91659,25436.7,25436.9,25410.3,25426.75
NIFTY 50,91759,25426.35,25437.75,25423.2,25432.15
NIFTY 50,91859,25431.35,25440.9,25415.2,25420.55
NIFTY 50,91959,25421.45,25423.8,25406.7,25412.65
NIFTY 50,92059,25411.95,25416.95,25406.0,25415.8
NIFTY 50,92159,25416.45,25428.35,25415.3,25419.75
NIFTY 50,92259,25421.0,25422.9,25413.2,25413.2
NIFTY 50,92359,25413.9,25414.6,25393.8,25403.05
NIFTY 50,92459,25403.8,25414.6,25403.8,25414.6
NIFTY 50,92559,25415.0,25432.95,25414.35,25432.5
NIFTY 50,92659,25433.0,25438.7,25430.9,25438.65
NIFTY 50,92759,25438.2,25442.95,25436.0,25436.15
NIFTY 50,92859,25436.15,25436.15,25423.95,25426.55
NIFTY 50,92959,25427.15,25431.6,25423.4,25424.9
NIFTY 50,93059,25424.55,25429.5,25414.2,25415.35
NIFTY 50,93159,25414.15,25416.9,25410.95,25414.05
NIFTY 50,93259,25414.25,25416.35,25412.55,25413.6
NIFTY 50,93359,25410.85,25410.85,25401.1,25407.35
NIFTY 50,93459,25407.65,25409.15,25404.2,25406.75
NIFTY 50,93559,25406.15,25407.3,25396.35,25400.9
NIFTY 50,93659,25401.05,25401.25,25386.5,25386.95
NIFTY 50,93759,25386.45,25396.35,25386.0,25396.35
NIFTY 50,93859,25396.25,25398.8,25391.85,25391.85
NIFTY 50,93959,25390.9,25390.9,25382.45,25384.3
NIFTY 50,94059,25383.65,25383.65,25370.55,25380.2
NIFTY 50,94159,25379.7,25389.2,25378.0,25388.5
NIFTY 50,94259,25387.65,25388.55,25382.0,25383.95
NIFTY 50,94359,25385.2,25386.35,25379.05,25384.3
NIFTY 50,94459,25384.65,25395.4,25384.55,25394.4
NIFTY 50,94559,25393.8,25397.95,25390.2,25395.95
NIFTY 50,94659,25396.35,25399.6,25394.15,25399.3
NIFTY 50,94759,25399.75,25402.25,25396.9,25400.8
NIFTY 50,94859,25400.8,25402.2,25398.95,25399.7
NIFTY 50,94959,25400.4,25403.25,25393.55,25395.15
NIFTY 50,95059,25395.55,25395.8,25389.2,25389.75
NIFTY 50,95159,25390.0,25396.4,25387.3,25396.4
NIFTY 50,95259,25396.65,25401.8,25396.65,25401.05
NIFTY 50,95359,25401.6,25411.25,25399.2,25408.5
